date,CSCO,XLK
2013-04-29,20.98,30.47
2013-04-30,20.92,30.8
2013-05-01,20.38,30.53
2013-05-02,20.73,30.92
2013-05-03,20.83,31.21
2013-05-06,20.81,31.36
2013-05-07,20.38,31.34
2013-05-08,20.72,31.59
2013-05-09,20.83,31.5
2013-05-10,21.1,31.59
2013-05-13,21.27,31.51
2013-05-14,21.27,31.61
2013-05-15,21.21,31.71
2013-05-16,23.887,31.88
2013-05-17,24.24,32.2
2013-05-20,23.945,32.2
2013-05-21,24.01,32.1
2013-05-22,23.34,31.75
2013-05-23,23.51,31.74
2013-05-24,23.53,31.69
2013-05-28,23.89,31.84
2013-05-29,24.12,31.76
2013-05-30,24.37,31.96
2013-05-31,24.115,31.66
2013-06-03,24.38,31.82
2013-06-04,24.36,31.68
2013-06-05,24.32,31.37
2013-06-06,24.55,31.44
2013-06-07,24.49,31.73
2013-06-10,24.36,31.8
2013-06-11,24.07,31.47
2013-06-12,23.99,31.26
2013-06-13,24.35,31.615
2013-06-14,24.09,31.38
2013-06-17,24.7,31.67
2013-06-18,24.82,31.92
2013-06-19,24.68,31.55
2013-06-20,24.435,30.85
2013-06-21,24.481,30.51
2013-06-24,24.055,30.14
2013-06-25,24.005,30.39
2013-06-26,24.385,30.57
2013-06-27,24.63,30.72
2013-06-28,24.335,30.585
2013-07-01,24.335,30.75
2013-07-02,24.32,30.8
2013-07-03,24.59,30.98
2013-07-05,24.57,31.18
2013-07-08,24.625,31.16
2013-07-09,25.155,31.28
2013-07-10,25.41,31.38
2013-07-11,25.87,31.91
2013-07-12,25.94,31.93
2013-07-15,25.93,32.02
2013-07-16,25.71,32.045
2013-07-17,25.72,32.07
2013-07-18,25.86,31.99
2013-07-19,25.82,31.445
2013-07-22,25.72,31.54
2013-07-23,25.56,31.411
2013-07-24,25.59,31.62
2013-07-25,25.5,31.64
2013-07-26,25.496,31.73
2013-07-29,25.33,31.68
2013-07-30,25.67,31.84
2013-07-31,25.59,31.73
2013-08-01,25.891,32.07
2013-08-02,26.19,32.21
2013-08-05,26.31,32.28
2013-08-06,26.21,32.11
2013-08-07,26.12,32.03
2013-08-08,26.26,32.135
2013-08-09,26.053,31.97
2013-08-12,26.34,32.18
2013-08-13,26.3205,32.4
2013-08-14,26.377,32.37
2013-08-15,24.485,31.85
2013-08-16,24.27,31.815
2013-08-19,24.27,31.72
2013-08-20,24.32,31.77
2013-08-21,24.07,31.7
2013-08-22,24.01,31.84
2013-08-23,23.86,32.07
2013-08-26,23.83,31.92
2013-08-27,23.485,31.36
2013-08-28,23.445,31.38
2013-08-29,23.45,31.55
2013-08-30,23.31,31.4
2013-09-03,23.48,31.431
2013-09-04,23.77,31.735
2013-09-05,23.69,31.75
2013-09-06,23.55,31.77
