date,JCI,XHB
2013-07-31,40.21,30.09
2013-08-01,41.12,30.34
2013-08-02,41.3,30.8
2013-08-05,40.92,30.61
2013-08-06,40.42,29.91
2013-08-07,40.04,29.43
2013-08-08,41.01,29.62
2013-08-09,41.43,29.53
2013-08-12,41.45,29.69
2013-08-13,41.48,29.44
2013-08-14,41.83,28.93
2013-08-15,40.68,28.97
2013-08-16,40.54,28.991
2013-08-19,40.16,28.32
2013-08-20,40.51,29.07
2013-08-21,40.58,28.98
2013-08-22,41.35,29.49
2013-08-23,41.63,29.08
2013-08-26,41.67,29.27
2013-08-27,40.11,28.62
2013-08-28,40.47,28.58
2013-08-29,40.85,28.92
2013-08-30,40.53,28.55
2013-09-03,40.73,28.57
2013-09-04,41.39,28.7
2013-09-05,41.37,28.64
2013-09-06,41.02,29.0
2013-09-09,41.66,29.99
