date,PHM,XHB
2013-06-04,20.56,29.98
2013-06-05,20.16,29.6
2013-06-06,21.1,30.29
2013-06-07,21.06,30.51
2013-06-10,20.64,30.26
2013-06-11,20.11,29.81
2013-06-12,20.01,29.75
2013-06-13,20.94,30.83
2013-06-14,20.86,30.83
2013-06-17,21.42,31.29
2013-06-18,21.49,31.57
2013-06-19,20.76,30.85
2013-06-20,18.87,29.365
2013-06-21,18.81,28.87
2013-06-24,18.31,28.42
2013-06-25,19.02,28.83
2013-06-26,19.03,29.09
2013-06-27,19.38,29.81
2013-06-28,18.97,29.42
2013-07-01,19.11,29.72
2013-07-02,19.0,29.45
2013-07-03,19.15,29.61
2013-07-05,18.59,29.45
2013-07-08,18.06,29.22
2013-07-09,19.05,30.03
2013-07-10,19.02,30.06
2013-07-11,20.39,31.14
2013-07-12,20.22,31.15
2013-07-15,19.54,30.85
2013-07-16,19.28,30.57
2013-07-17,19.49,30.66
2013-07-18,19.11,30.58
2013-07-19,19.36,30.79
2013-07-22,19.14,30.7
2013-07-23,19.34,30.83
2013-07-24,18.45,30.19
2013-07-25,16.55,29.77
2013-07-26,16.36,29.61
2013-07-29,16.39,29.41
2013-07-30,16.18,29.7
2013-07-31,16.63,30.09
2013-08-01,16.72,30.34
2013-08-02,17.22,30.8
2013-08-05,16.86,30.61
2013-08-06,16.19,29.91
2013-08-07,15.78,29.43
2013-08-08,15.76,29.62
2013-08-09,15.67,29.53
2013-08-12,15.73,29.69
2013-08-13,15.37,29.44
2013-08-14,15.11,28.93
2013-08-15,15.91,28.97
2013-08-16,16.28,28.991
2013-08-19,15.65,28.32
2013-08-20,16.19,29.07
2013-08-21,16.1,28.98
2013-08-22,16.32,29.49
2013-08-23,16.06,29.08
2013-08-26,16.15,29.27
2013-08-27,15.59,28.62
2013-08-28,15.38,28.58
2013-08-29,15.86,28.92
2013-08-30,15.39,28.55
2013-09-03,15.39,28.57
2013-09-04,15.32,28.7
2013-09-05,15.25,28.64
2013-09-06,15.47,29.0
2013-09-09,16.63,29.99
