date,ODP,XRT
2012-05-24,2.24,59.1
2012-05-25,2.21,59.41
2012-05-29,2.22,59.9
2012-05-30,2.18,58.74
2012-05-31,2.15,58.41
2012-06-01,2.05,56.53
2012-06-04,2.05,56.67
2012-06-05,2.02,57.13
2012-06-06,2.11,58.48
2012-06-07,2.08,57.56
2012-06-08,2.08,58.28
2012-06-11,2.02,57.09
2012-06-12,2.08,58.04
2012-06-13,2.01,56.5
2012-06-14,2.06,57.45
2012-06-15,2.05,57.97
2012-06-18,2.09,58.09
2012-06-19,2.21,58.85
2012-06-20,2.24,58.92
2012-06-21,2.21,57.56
2012-06-22,2.24,57.83
2012-06-25,2.07,56.86
2012-06-26,2.07,57.43
2012-06-27,2.1,57.15
2012-06-28,2.05,57.12
2012-06-29,2.16,59.09
2012-07-02,2.22,59.49
2012-07-03,2.24,59.89
2012-07-05,2.2,60.52
2012-07-06,2.19,60.01
2012-07-09,2.19,59.72
2012-07-10,2.16,59.62
2012-07-11,2.03,59.03
2012-07-12,1.99,58.32
2012-07-13,2.0,59.22
2012-07-16,1.93,58.87
2012-07-17,1.9,58.99
2012-07-18,1.92,59.56
2012-07-19,1.98,59.84
2012-07-20,1.94,59.05
2012-07-23,1.9,58.34
2012-07-24,1.85,57.81
2012-07-25,1.79,57.46
2012-07-26,1.75,58.16
2012-07-27,1.78,59.6
2012-07-30,1.72,59.49
2012-07-31,1.78,59.11
2012-08-01,1.66,58.44
2012-08-02,1.7,58.03
2012-08-03,1.78,59.39
2012-08-06,1.74,59.74
2012-08-07,1.65,60.54
2012-08-08,1.63,60.56
2012-08-09,1.61,60.39
2012-08-10,1.64,60.1
2012-08-13,1.58,59.96
2012-08-14,1.6,60.08
2012-08-15,1.55,60.34
2012-08-16,1.61,61.05
2012-08-17,1.69,61.46
2012-08-20,1.59,61.09
2012-08-21,1.58,61.15
2012-08-22,1.55,61.27
2012-08-23,1.52,60.48
2012-08-24,1.53,60.69
2012-08-27,1.51,60.73
2012-08-28,1.53,61.02
2012-08-29,1.53,61.4
2012-08-30,1.51,61.22
2012-08-31,1.53,61.22
2012-09-04,1.61,61.71
2012-09-05,1.92,61.84
2012-09-06,1.86,63.37
2012-09-07,1.88,63.52
2012-09-10,1.84,63.44
2012-09-11,1.89,63.2
2012-09-12,2.29,63.79
2012-09-13,2.36,64.6
2012-09-14,2.47,65.13
2012-09-17,2.6,64.76
2012-09-18,2.59,64.03
