date,URBN,XRT,beta,value,price
2011-03-07,37.99,48.38,0.7555121919827564,1.438320151874244,31.438320151874244
2011-03-08,31.66,48.65,0.7551967683473537,-5.080322780098758,24.919677219901242
2011-03-09,31.17,48.99,0.7528976952449162,-5.714458090048446,24.285541909951554
2011-03-10,31.67,48.61,0.7505447094102365,-4.813978324431595,25.186021675568405
2011-03-11,32.12,49.23,0.748673122349717,-4.737177813276567,25.262822186723433
2011-03-14,31.73,48.771,0.7466672310751751,-4.685707526767363,25.314292473232637
2011-03-15,31.32,48.71,0.7445842804668915,-4.948700301542289,25.05129969845771
2011-03-16,31.19,48.17,0.742544444499982,-4.578365891564136,25.421634108435864
2011-03-17,31.15,47.99,0.7407005500116718,-4.396219395060129,25.60378060493987
2011-03-18,31.25,47.87,0.7387319911497725,-4.113100416339606,25.886899583660394
2011-03-21,31.79,48.77,0.7368711973745922,-4.147208295958862,25.852791704041138
2011-03-22,30.4,48.33,0.7351866034031844,-5.131568542475904,24.868431457524096
2011-03-23,30.4,48.68,0.7333165041012356,-5.29784741964815,24.70215258035185
2011-03-24,30.19,49.46,0.7313409723928668,-5.98212449455119,24.01787550544881
2011-03-25,30.06,49.93,0.7289083659088577,-6.334394709829265,23.665605290170735
2011-03-28,29.62,49.6,0.7263374615436206,-6.406338092563576,23.593661907436424
2011-03-29,29.9,50.19,0.7237119878377157,-6.423104669574954,23.576895330425046
2011-03-30,30.55,51.13,0.7211232589000763,-6.321032227560902,23.678967772439098
2011-03-31,29.83,50.8,0.7187007184827031,-6.679996498921319,23.32000350107868
2011-04-01,30.35,51.06,0.7157570638895703,-6.196555682201456,23.803444317798544
2011-04-04,30.19,50.88,0.7129739784849628,-6.0861160253149045,23.913883974685096
2011-04-05,30.68,51.97,0.7099403013158849,-6.215597459386537,23.784402540613463
2011-04-06,31.28,52.109,0.7067637284562228,-5.5487511261253175,24.451248873874682
2011-04-07,31.0,52.55,0.7038522749824812,-5.987437050329383,24.012562949670617
2011-04-08,30.91,51.97,0.7006663858921824,-5.503632074816718,24.496367925183282
2011-04-11,31.3,51.96,0.6976290119798692,-4.948803462474,25.051196537526
2011-04-12,31.56,51.66,0.6946883885535693,-4.32760215267739,25.67239784732261
2011-04-13,31.69,51.72,0.6920641634456689,-4.103558533409991,25.89644146659001
2011-04-14,31.31,51.75,0.6895775266230861,-4.375637002744707,25.624362997255293
2011-04-15,30.64,52.15,0.6870636810865884,-5.190370968665583,24.809629031334417
2011-04-18,30.4,51.68,0.684317770291279,-4.965542368653303,25.034457631346697
2011-04-19,31.43,51.69,0.6815651921460397,-3.8001047820287894,26.19989521797121
2011-04-20,31.2,52.79,0.6794832103103643,-4.66991867228413,25.33008132771587
2011-04-21,31.76,52.8,0.6770504298294926,-3.988262694997207,26.011737305002793
2011-04-25,31.9,52.78,0.6748017738154567,-3.716037621979808,26.283962378020192
2011-04-26,32.65,52.95,0.6726974869356186,-2.9693319332410084,27.03066806675899
2011-04-27,33.1,53.68,0.6708025547961497,-2.908681141457315,27.091318858542685
2011-04-28,31.83,53.62,0.668927321590458,-4.037882983680355,25.962117016319645
2011-04-29,31.47,53.31,0.6666922645193589,-4.0713646215270245,25.928635378472976
2011-05-02,31.85,52.93,0.6643842306325387,-3.3158573273802716,26.68414267261973
2011-05-03,32.19,52.69,0.6624933299293855,-2.7167735539793227,27.283226446020677
2011-05-04,32.12,52.62,0.6606361003469549,-2.6426716002567687,27.35732839974323
2011-05-05,31.55,52.6,0.6587229219138805,-3.0988256926701148,26.901174307329885
2011-05-06,31.38,52.72,0.6561042006224085,-3.209813456813375,26.790186543186625
2011-05-09,31.43,52.97,0.6533423831653621,-3.177546036269227,26.822453963730773
2011-05-10,32.9,53.78,0.6505807198117339,-2.0882311114750536,27.911768888524946
2011-05-11,32.87,53.54,0.6481431120436615,-1.831582218817637,28.168417781182363
2011-05-12,32.99,54.4,0.6456678970817448,-2.134333601246915,27.865666398753085
2011-05-13,32.62,54.1,0.6430345388971983,-2.168168554338429,27.83183144566157
2011-05-16,32.29,53.21,0.6405053863812991,-1.7912916093489244,28.208708390651076
2011-05-17,33.06,53.05,0.6380209150286071,-0.7870095422676044,29.212990457732396
2011-05-18,32.43,53.6,0.635887428854569,-1.6535661866048983,28.3464338133951
2011-05-19,32.54,53.32,0.6333490036317512,-1.2301688736449705,28.76983112635503
2011-05-20,31.51,52.41,0.6310309774611047,-1.5623335287364917,28.43766647126351
2011-05-23,31.36,52.26,0.6285159833220093,-1.486245288408206,28.513754711591794
2011-05-24,30.97,52.38,0.625973618428409,-1.818498133280066,28.181501866719934
2011-05-25,30.18,52.36,0.6230100816287835,-2.4408078740830987,27.5591921259169
2011-05-26,30.24,53.23,0.6197890859975842,-2.751373047651409,27.24862695234859
2011-05-27,30.46,53.69,0.6164967898675355,-2.6397126479879773,27.360287352012023
2011-05-31,30.46,54.14,0.6131569855829462,-2.736319199460702,27.263680800539298
2011-06-01,30.02,52.57,0.6096498341452715,-2.0292917810169264,27.970708218983074
2011-06-02,29.8,52.0,0.606416736877334,-1.7336703176213675,28.266329682378633
2011-06-03,29.19,51.23,0.6052006344199915,-1.8144285013361632,28.185571498663837
2011-06-06,28.9,50.34,0.6041583213592043,-1.5133298972223486,28.48667010277765
2011-06-07,29.28,50.3,0.6029890676379841,-1.050350102190599,28.9496498978094
2011-06-08,28.49,49.67,0.6019161067472576,-1.4071730221362877,28.592826977863712
2011-06-09,29.19,50.35,0.600763174271797,-1.0584258245849796,28.94157417541502
2011-06-10,29.03,49.48,0.5998111117098478,-0.6486538074032673,29.351346192596733
2011-06-13,28.96,49.64,0.5989263305244579,-0.7707030472340897,29.22929695276591
2011-06-14,29.15,50.9,0.59797402051152,-1.2868776440363696,28.71312235596363
2011-06-15,28.71,50.13,0.5967925316518352,-1.2072096117064994,28.7927903882935
2011-06-16,28.27,50.18,0.5956103139057412,-1.617725551790091,28.38227444820991
2011-06-17,28.81,50.59,0.5946283453622986,-1.2722479918786895,28.72775200812131
2011-06-20,28.97,51.71,0.5937958305249875,-1.735182396447108,28.264817603552892
2011-06-21,29.28,52.74,0.5929939722162295,-1.994502094683945,28.005497905316055
2011-06-22,28.63,51.93,0.5922093619950554,-2.1234321684032267,27.876567831596773
2011-06-23,29.26,52.65,0.5914581302460359,-1.8802705574537875,28.119729442546213
2011-06-24,28.43,51.96,0.5907859469363695,-2.2672378028137636,27.732762197186236
2011-06-27,28.45,52.36,0.5899575839422875,-2.4401790952181734,27.559820904781827
2011-06-28,28.68,53.47,0.5892198256061898,-2.8255840751629684,27.17441592483703
2011-06-29,28.34,53.2,0.5882150655425863,-2.953041486865594,27.046958513134406
2011-06-30,28.15,53.38,0.5871762652723508,-3.1934690402380888,26.80653095976191
2011-07-01,28.92,54.44,0.586086022890881,-2.986523086179556,27.013476913820444
2011-07-05,29.11,54.5,0.5848629468075977,-2.7650306010140717,27.23496939898593
2011-07-06,30.75,54.66,0.5838630062251841,-1.163951920268559,28.83604807973144
2011-07-07,32.58,56.34,0.5832987422309465,-0.28305113729152964,29.71694886270847
2011-07-08,32.03,55.91,0.5828907923209945,-0.5594241986667967,29.440575801333203
2011-07-11,31.3,54.64,0.5822512988907446,-0.514210971390284,29.485789028609716
2011-07-12,31.7,54.32,0.5815917507752204,0.10793609789002545,30.107936097890025
2011-07-13,31.85,54.79,0.5812499745877252,0.0033138923385394037,30.00331389233854
2011-07-14,31.3,54.1,0.5811485340505229,-0.14013569213328836,29.85986430786671
2011-07-15,31.41,54.3,0.5809897922445303,-0.13774571887799425,29.862254281122006
2011-07-18,31.02,53.74,0.5805128674984429,-0.17676149936632157,29.82323850063368
2011-07-19,31.59,54.88,0.5802811481354775,-0.25582940967500534,29.744170590324995
2011-07-20,31.5,54.52,0.5798441609228147,-0.1131036535118568,29.886896346488143
2011-07-21,32.17,54.93,0.5793997738846748,0.34357042051481557,30.343570420514816
2011-07-22,32.56,54.95,0.5788909470204064,0.7499424612286667,30.749942461228667
2011-07-25,32.49,54.34,0.578489480914739,1.0548816070930869,31.054881607093087
2011-07-26,33.59,55.0,0.5785716117468606,1.7685613539226743,31.768561353922674
2011-07-27,32.16,53.28,0.5789509615886658,1.313492766555882,31.313492766555882
2011-07-28,32.58,53.25,0.5789874314456288,1.7489192755202652,31.748919275520265
