date,F,XLY,beta,value,price
2022-07-19,12.59,149.71001,0.08590335505859086,-0.270592144855188,29.729407855144814
2022-07-20,12.73,152.17,0.08584143681528927,-0.33249144018256693,29.667508559817435
2022-07-21,13.0,155.64999,0.08579866974090691,-0.3545620871854638,29.645437912814536
2022-07-22,12.82,154.75,0.08575770368824485,-0.4510046457558907,29.54899535424411
2022-07-25,12.84,153.42,0.08566804531452363,-0.30319151215421414,29.696808487845786
2022-07-26,12.54,148.48,0.08557615966555265,-0.1663481871412582,29.83365181285874
2022-07-27,13.19,154.10001,0.08556582655007028,0.004305272975903662,30.004305272975905
2022-07-28,14.0,156.75,0.08553860651990876,0.591823428004302,30.591823428004304
2022-07-29,14.69,162.83,0.08559263411053922,0.7529513877808984,30.752951387780897
2022-08-01,15.34,163.64,0.08562967882711335,1.3275593567311716,31.32755935673117
2022-08-02,15.16,162.52,0.08573771296763702,1.2259068884996314,31.22590688849963
2022-08-03,15.69,166.48,0.08579258918890262,1.4072497518314933,31.407249751831493
2022-08-04,15.37,167.16,0.08589406674553439,1.0119478028164703,31.011947802816472
2022-08-05,15.3,164.31,0.08598081414660726,1.1724924275709618,31.172492427570962
2022-08-08,15.78,165.05,0.08608460523872612,1.5717359053482536,31.571735905348255
2022-08-09,15.19,162.42,0.08624756865308943,1.1816698993652164,31.181669899365218
2022-08-10,15.5,167.0,0.0864140567906189,1.0688525159666433,31.068852515966643
2022-08-11,15.83,166.14999,0.08650939700268652,1.4564645530976055,31.456464553097604
2022-08-12,16.18,169.91,0.08667264616196847,1.4534506906199365,31.45345069061994
2022-08-15,16.32,171.08,0.08682372393237275,1.4661973096496688,31.46619730964967
2022-08-16,16.43,172.97,0.08696884904297726,1.3869981810362226,31.386998181036223
2022-08-17,16.03,171.11,0.08710065746124844,1.126206501805779,31.12620650180578
2022-08-18,16.15,171.06,0.08721345947948815,1.2312656214387552,31.231265621438755
2022-08-19,15.88,167.53,0.08731547494291207,1.2520384828139406,31.25203848281394
2022-08-22,15.08,162.88,0.08742805897763926,0.8397177537221179,30.83971775372212
2022-08-23,15.32,163.34,0.08749345550461286,1.0288189778765346,31.028818977876533
2022-08-24,15.52,164.03999,0.08760136079726087,1.1498736508309353,31.149873650830934
2022-08-25,15.93,166.0,0.0877180880332965,1.3687973864727798,31.368797386472778
2022-08-26,15.41,159.67999,0.0878658179682662,1.379587065485433,31.37958706548543
2022-08-29,15.57,158.83,0.08800978896653783,1.5914052184447964,31.591405218444798
2022-08-30,15.45,157.06,0.08818685284045649,1.599372892877902,31.599372892877902
2022-08-31,15.24,155.50999,0.08836394307745193,1.498524095664882,31.498524095664884
2022-09-01,15.19,156.92999,0.08855026100976018,1.2938084252409432,31.293808425240943
2022-09-02,15.16,155.49001,0.08868411484610972,1.37050609573725,31.370506095737248
2022-09-06,15.03,155.17,0.08884132713923723,1.244491267804559,31.24449126780456
2022-09-07,15.43,159.92999,0.08898711408737782,1.1982917338768058,31.198291733876808
2022-09-08,15.47,161.42,0.08913284733164123,1.0821757837264752,31.082175783726477
2022-09-09,15.42,164.48,0.08930087280594444,0.7317924408782588,30.73179244087826
2022-09-12,15.54,166.60001,0.08939393133213155,0.6469701461275683,30.64697014612757
2022-09-13,14.74,158.00999,0.08950636040377967,0.5971008876623802,30.59710088766238
2022-09-14,14.66,160.03999,0.08964574863072401,0.3130952855964164,30.313095285596418
2022-09-15,14.89,159.22,0.08977083190362836,0.5966881443042933,30.596688144304295
2022-09-16,14.72,157.94,0.08993874399481243,0.5150747734593253,30.515074773459325
2022-09-19,14.93,159.84,0.09009455005813467,0.529287118707753,30.529287118707753
2022-09-20,13.09,157.13,0.09026690852181098,-1.0936393360321581,28.906360663967842
2022-09-21,13.05,153.41,0.09027579172778,-0.7992092089587288,29.20079079104127
2022-09-22,12.77,149.87,0.09030014475314214,-0.7632826941534141,29.236717305846586
2022-09-23,12.31,146.42,0.09029828983857442,-0.9114755981640652,29.088524401835933
2022-09-26,11.99,146.09,0.09030983818031633,-1.203364259762413,28.796635740237587
2022-09-27,11.91,146.55,0.09031049191349777,-1.3250025899230984,28.6749974100769
2022-09-28,12.18,150.50999,0.09030461067017859,-1.4117460489224722,28.588253951077526
2022-09-29,11.47,145.31,0.0903278270170768,-1.6555365438514293,28.34446345614857
2022-09-30,11.2,142.45,0.09034130598377497,-1.6691190373887448,28.330880962611253
2022-10-03,11.47,142.59,0.0903360826113649,-1.4110220195545207,28.588977980445478
2022-10-04,12.36,147.57001,0.09035848398434916,-0.9742023851552464,29.025797614844755
2022-10-05,12.51,146.7,0.09041230612744669,-0.753485308896428,29.24651469110357
2022-10-06,12.36,145.66,0.09045518436590598,-0.8157021547378651,29.184297845262137
2022-10-07,12.2,140.64999,0.0905088341701253,-0.5300666209397829,29.469933379060215
2022-10-10,11.36,139.78,0.09060320109729576,-1.304515449380002,28.695484550619998
2022-10-11,11.56,138.64,0.09060164935521221,-1.00101266660662,28.99898733339338
2022-10-12,11.54,139.0,0.09062558675057492,-1.0569565583299134,28.943043441670085
2022-10-13,11.77,140.52,0.09062520533322416,-0.9646538534246591,29.035346146575343
2022-10-14,11.67,135.27,0.09064261549176349,-0.5912265975708486,29.40877340242915
2022-10-17,11.83,140.75999,0.09070529804968704,-0.937676846420965,29.062323153579037
2022-10-18,12.03,142.7,0.09074352155966546,-0.9191005265642609,29.08089947343574
2022-10-19,12.13,141.10001,0.09076722110897051,-0.677255806147949,29.322744193852053
2022-10-20,11.77,138.37,0.09079692349179364,-0.7935703035594859,29.206429696440516
2022-10-21,12.19,142.39999,0.0908063253606705,-0.740819823296226,29.259180176703772
2022-10-24,12.48,142.99001,0.09075912987773829,-0.4976488888090973,29.502351111190904
2022-10-25,12.83,146.57001,0.09072003472957411,-0.46683639751402417,29.533163602485978
2022-10-26,12.82,145.39,0.09061682006865893,-0.35477946978232033,29.645220530217678
2022-10-27,13.0,144.83,0.09053223991966626,-0.1117843075652658,29.888215692434734
2022-10-28,13.26,144.96001,0.09044924066859712,0.14847716818775325,30.148477168187753
2022-10-31,13.37,144.03,0.0904349901718709,0.3446483655454333,30.34464836554543
2022-11-01,13.4,142.57001,0.09041898306161977,0.5089646807150388,30.50896468071504
2022-11-02,13.06,137.17999,0.0903703751376608,0.6629928423194436,30.662992842319444
2022-11-03,13.26,136.36,0.09037590546265417,0.9363415311124754,30.936341531112475
2022-11-04,13.51,137.5,0.09041858780604506,1.0774441766688039,31.077444176668806
2022-11-07,13.7,136.53999,0.09042871711139304,1.3528638698975666,31.35286386989757
2022-11-08,13.72,136.2,0.09046221582589711,1.399046204512814,31.399046204512814
2022-11-09,13.31,132.03999,0.09049598130585336,1.3609115333349369,31.360911533334935
2022-11-10,14.18,141.69,0.09052939895692266,1.3528894617936285,31.35288946179363
2022-11-11,14.5,145.09,0.09060318763263944,1.3543835063803424,31.354383506380344
2022-11-14,14.06,142.78999,0.09066674652691407,1.1136961700894066,31.113696170089405
2022-11-15,14.3,144.74001,0.09069930331293782,1.1721819314923465,31.172181931492347
2022-11-16,13.9,142.53,0.09078960451481385,0.9597576685035811,30.95975766850358
2022-11-17,13.91,140.8,0.09083258543932998,1.1207719701423375,31.120771970142336
2022-11-18,13.99,140.99001,0.09087537217448748,1.1774803683652877,31.177480368365288
2022-11-21,13.95,138.95,0.09089515112693475,1.3201187509124175,31.320118750912417
2022-11-22,14.07,140.52,0.09092626078363573,1.293041834683505,31.293041834683507
2022-11-23,14.03,142.55,0.09092820208602952,1.0681847926364902,31.06818479263649
2022-11-25,14.08,142.63,0.09090389975479302,1.114376777973872,31.114376777973874
2022-11-28,13.73,141.75,0.0908940365484617,0.8457703192555535,30.845770319255553
2022-11-29,13.75,141.3,0.09087416622443956,0.9094803124866893,30.90948031248669
2022-11-30,13.9,146.17,0.09084936017273168,0.6205490235518116,30.62054902355181
2022-12-01,14.08,146.14999,0.09080689336277958,0.8085734430986982,30.808573443098698
2022-12-02,13.86,145.96001,0.0907856700785558,0.6089226874772926,30.608922687477293
2022-12-05,13.38,141.75,0.09075185328840095,0.5159247963691662,30.515924796369166
2022-12-06,13.28,139.53999,0.09074550551767907,0.6173730675181179,30.617373067518116
2022-12-07,13.1,138.7,0.09075822092704311,0.5118347574191215,30.511834757419123
2022-12-08,13.12,140.03999,0.09076457625749679,0.40932964854591347,30.409329648545913
2022-12-09,13.18,139.42999,0.09079357731645686,0.5206524227021916,30.52065242270219
2022-12-12,13.46,139.78,0.09079643480400504,0.7684743430961767,30.768474343096177
2022-12-13,13.57,139.78,0.09083516088880511,0.8730612109628222,30.873061210962824
2022-12-14,13.48,138.74001,0.0908813717752409,0.8711175710893588,30.871117571089357
2022-12-15,13.03,136.46001,0.0911349492638811,0.5937239121012894,30.59372391210129
2022-12-16,12.12,133.91,0.0913200675534186,-0.1086702460782849,29.891329753921717
2022-12-19,11.69,131.39999,0.09142196177631014,-0.3228448631875356,29.677155136812466
2022-12-20,11.47,129.87,0.09151786033904864,-0.4154245222322466,29.584575477767753
2022-12-21,11.78,131.94,0.09164129409195966,-0.31115234249315726,29.68884765750684
2022-12-22,11.31,128.55,0.09179373819106527,-0.4900850444614413,29.50991495553856
2022-12-23,11.36,129.42999,0.09194824164087594,-0.540859996096156,29.459140003903844
2022-12-27,11.2,127.33,0.09212156624317669,-0.5298390297436892,29.47016097025631
2022-12-28,10.95,126.26,0.09229689196152738,-0.7034055790624478,29.296594420937552
2022-12-29,11.54,129.50999,0.09242668970365628,-0.43017965925362667,29.569820340746375
2022-12-30,11.63,129.16,0.0925406367774344,-0.32254864617342704,29.677451353826573
2023-01-03,11.68,128.39,0.09263923011825259,-0.21395075488244863,29.786049245117553
2023-01-04,12.01,130.25,0.09275808523819142,-0.07174060227443135,29.92825939772557
2023-01-05,12.25,129.03999,0.09285301833415682,0.26824744269058876,30.268247442690587
2023-01-06,12.58,132.07001,0.09307936814272097,0.2870069185971609,30.28700691859716
2023-01-09,12.69,132.87,0.09327426070650695,0.29664897992642025,30.29664897992642
2023-01-10,12.84,134.53999,0.09348091964048169,0.263078006378791,30.26307800637879
2023-01-11,13.22,138.17,0.09367901171350596,0.2763709515448838,30.276370951544884
2023-01-12,13.43,138.39999,0.09383028125873369,0.4438900120940694,30.44389001209407
2023-01-13,12.72,139.7,0.09405274717959038,-0.4191687809887732,29.580831219011227
2023-01-17,12.67,139.8,0.09417480012397057,-0.49563705733108776,29.504362942668912
2023-01-18,12.41,137.98,0.09425688366137837,-0.5955648075969862,29.404435192403014
2023-01-19,12.18,135.69,0.09433876785830998,-0.6208274106940816,29.379172589305917
2023-01-20,12.4,138.98,0.09441991806587957,-0.7224802127959418,29.277519787204056
2023-01-23,12.8,141.14999,0.09445979533116473,-0.5329991663959479,29.467000833604054
2023-01-24,12.74,140.99001,0.09452419031572958,-0.5869665378566165,29.41303346214338
2023-01-25,12.79,141.71001,0.09456927073947957,-0.6114123021843589,29.38858769781564
2023-01-26,12.92,144.61,0.0945817527352202,-0.7574672630401942,29.242532736959806
