date,IVZ,KCE,beta,value,price
2014-02-27,34.12,48.2936,0.7142124734533684,-0.3718915079675895,29.62810849203241
2014-02-28,34.3,48.4,0.7139271323880328,-0.2540732075807952,29.745926792419205
2014-03-03,33.35,47.76,0.7135129117303098,-0.7273766642395927,29.272623335760407
2014-03-04,34.45,49.06,0.7129007407542286,-0.5249103414024532,29.475089658597547
2014-03-05,34.42,49.035,0.7123799898051109,-0.5115528000936038,29.488447199906396
2014-03-06,34.38,49.27,0.7119612247695589,-0.6983295443961666,29.301670455603833
2014-03-07,34.52,49.329,0.7112838437441973,-0.5669207280575037,29.433079271942496
2014-03-10,34.86,49.39,0.7106141711037824,-0.23723391081581724,29.762766089184183
2014-03-11,34.75,48.8524,0.7101021994433744,0.059803311912496326,30.059803311912496
2014-03-12,35.58,48.89,0.7097832473807107,0.878697035557046,30.878697035557046
2014-03-13,34.81,48.3401,0.709820233093337,0.49721895024478613,30.497218950244786
2014-03-14,34.53,48.08,0.7097037888515751,0.4074418320162678,30.407441832016268
2014-03-17,34.9,48.68,0.7095735059957589,0.35796172812645466,30.357961728126455
2014-03-18,35.09,49.075,0.7095882509802025,0.2669565831465661,30.266956583146566
2014-03-19,34.92,48.81,0.7095910721695977,0.2848597674019331,30.284859767401933
2014-03-20,36.25,49.94,0.7095598903686978,0.814579074987229,30.81457907498723
2014-03-21,36.15,49.3,0.7095948921354491,1.1669718177223558,31.166971817722356
2014-03-24,36.19,49.18,0.7097012765030543,1.2868912215797863,31.286891221579786
2014-03-25,36.24,48.951,0.7098063016761518,1.4942717266506946,31.494271726650695
2014-03-26,36.28,48.63,0.7099716806834612,1.7540771683632812,31.75407716836328
2014-03-27,36.13,48.0499,0.710200424512973,2.0049406221940984,32.0049406221941
2014-03-28,36.44,48.18,0.7105285077787097,2.2067364952217687,32.20673649522177
2014-03-31,37.0,49.02,0.7109931485450668,2.1471158583208236,32.147115858320824
2014-04-01,37.46,49.486,0.7115076279725231,2.2503335221517275,32.25033352215173
2014-04-02,37.68,49.879,0.7121042378853214,2.160952718518054,32.160952718518054
2014-04-03,36.65,49.17,0.7125786971600063,1.6125054606424882,31.61250546064249
2014-04-04,35.65,47.6,0.7128441995110629,1.7186161032734049,31.718616103273405
2014-04-07,34.63,46.53,0.7131646884457296,1.4464470466202073,31.446447046620207
2014-04-08,35.13,46.71,0.7135732403790775,1.7989939418932863,31.798993941893286
2014-04-09,35.55,47.25,0.7141534881180217,1.8062476864234682,31.80624768642347
2014-04-10,34.72,45.9201,0.7148269346380448,1.8950756787275225,31.895075678727522
2014-04-11,34.09,45.03,0.7155956465738819,1.866728034778106,31.866728034778106
2014-04-14,34.41,45.3101,0.7164694937958204,1.9466955891619975,31.946695589161997
2014-04-15,34.63,45.64,0.7174866320632055,1.8839101126353057,31.883910112635306
2014-04-16,35.18,46.45,0.7185494057738929,1.8033801018026736,31.803380101802674
2014-04-17,35.22,46.85,0.7196952757802472,1.5022763296954196,31.50227632969542
2014-04-21,35.34,46.8,0.720580127444296,1.6168500356069515,31.61685003560695
2014-04-22,35.71,47.51,0.7215627101049662,1.4285556429130608,31.42855564291306
2014-04-23,35.77,47.57,0.7225759032705983,1.3970642814176415,31.39706428141764
2014-04-24,35.38,47.38,0.7234686538620234,1.1020551800173308,31.10205518001733
2014-04-25,34.88,46.58,0.72434980162972,1.1397862400876448,31.139786240087645
2014-04-28,34.79,46.06,0.7251391935945045,1.3900887430371185,31.39008874303712
2014-04-29,35.22,46.7,0.7260272768329202,1.3145261719026209,31.31452617190262
2014-04-30,35.21,47.2,0.7268445511948026,0.9029371836053173,30.902937183605317
2014-05-01,36.02,47.18,0.7275277500394507,1.6952407531387195,31.69524075313872
2014-05-02,35.96,47.32,0.7285131312024712,1.4867586314990646,31.486758631499065
2014-05-05,35.78,47.15,0.7295465902490238,1.3818782697585306,31.38187826975853
2014-05-06,35.26,46.27,0.7303694881770076,1.4658037820498535,31.465803782049854
2014-05-07,35.72,46.81,0.7313527503037287,1.4853777582824534,31.485377758282453
2014-05-08,35.52,46.82,0.7320236682332174,1.2466518533207633,31.246651853320763
2014-05-09,35.85,46.76,0.7326365395162692,1.591915412219258,31.591915412219258
