date,PNC,KBE,beta,value,price
2021-07-02,192.78999,51.31,3.5280826098657276,11.764071287789506,41.764071287789506
2021-07-06,187.96001,49.94,3.5333342737944364,11.505296366705863,41.50529636670586
2021-07-07,186.58,49.72,3.5384675010858704,10.64739584601054,40.64739584601054
2021-07-08,183.23,48.83,3.5436056977095753,10.195733780841437,40.19573378084144
2021-07-09,189.67,50.7,3.5486059836770965,9.755676627571177,39.75567662757118
2021-07-12,191.91,50.98,3.553767047558461,10.73895591546966,40.73895591546966
2021-07-13,189.28,49.85,3.560537835969565,11.787188876917185,41.787188876917185
2021-07-14,188.34,49.67,3.56688261538273,11.172940493939791,41.17294049393979
2021-07-15,189.5,50.16,3.5732719131882935,10.2646808344752,40.2646808344752
2021-07-16,183.42999,48.9,3.579209325147089,8.406654000307356,38.406654000307356
2021-07-19,177.8,47.2,3.5848746827724285,8.59391497314138,38.59391497314138
2021-07-20,181.60001,48.53,3.59024204856979,7.365563382908078,37.36556338290808
2021-07-21,184.87,49.54,3.59626609531659,6.710977638016146,36.710977638016146
2021-07-22,181.72,48.53,3.6019222227271546,6.918714531051194,36.918714531051194
2021-07-23,183.02,48.8,3.6072157393911963,6.98787191770964,36.98787191770964
2021-07-26,184.52,49.21,3.612069915495974,6.770039458443108,36.77003945844311
2021-07-27,184.27,48.98,3.6164879689114526,7.134419282717062,37.13441928271706
2021-07-28,183.75999,49.65,3.620865703879575,3.9840078023790966,33.9840078023791
2021-07-29,185.16,50.04,3.624423676141924,3.7938392458581234,33.79383924585812
2021-07-30,182.41,49.46,3.6271174370525006,3.0127715633833247,33.012771563383325
2021-08-02,181.78,49.14,3.629425423775069,3.4300346756930935,33.43003467569309
2021-08-03,186.34,49.93,3.630756002378303,5.056352801251336,35.056352801251336
2021-08-04,185.02,49.41,3.6324825548198927,5.53903696634913,35.53903696634913
2021-08-05,186.67999,50.35,3.6338357514460915,3.716359914689292,33.71635991468929
2021-08-06,190.27,51.83,3.6355841216118963,1.8376749768554248,31.837674976855425
2021-08-09,190.00999,51.54,3.6363557797196933,2.5922131132469985,32.592213113247
2021-08-10,191.7,52.06,3.637592788621174,2.326919424381657,32.32691942438166
2021-08-11,193.89999,52.9,3.6387645331153347,1.4093461981988185,31.40934619819882
2021-08-12,193.39999,52.71,3.640144395031045,1.5279789379136162,31.527978937913616
2021-08-13,190.38,52.3,3.6421735336925303,-0.10567581211932975,29.89432418788067
2021-08-16,189.64999,52.04,3.6436993945651914,0.03187350682745205,30.031873506827452
2021-08-17,187.75,51.28,3.645794709484272,0.7936472976465154,30.793647297646515
2021-08-18,185.56,50.82,3.648130452517992,0.1620104030356515,30.16201040303565
2021-08-19,184.34,50.12,3.649856055153386,1.409214515712307,31.409214515712307
2021-08-20,185.82001,50.94,3.6513343059420946,-0.17895954469028652,29.821040455309713
2021-08-23,187.27,51.39,3.6533089952295734,-0.47354926484777593,29.526450735152224
2021-08-24,188.48,51.77,3.6555424646768104,-0.7674333963184949,29.232566603681505
2021-08-25,192.13,52.31,3.657479314757982,0.8072570450099477,30.807257045009948
2021-08-26,191.0,51.63,3.660211486923389,2.023280930145404,32.023280930145404
2021-08-27,194.50999,52.85,3.6628765725273573,0.92696314192915,30.92696314192915
2021-08-30,190.61,51.77,3.6652286498925166,0.8611127950644288,30.86111279506443
2021-08-31,191.10001,52.13,3.6682356963144707,-0.12511684887337537,29.874883151126625
2021-09-01,189.48,51.74,3.671468890254164,-0.48180038175047457,29.518199618249525
