date,AEP,XLU,beta,value,price
2011-02-15,35.83,31.87,1.141347331963015,-0.5447394696612875,29.455260530338712
2011-02-16,35.77,31.8,1.1408493790385759,-0.5090102534267089,29.49098974657329
2011-02-17,35.85,31.86,1.1404546199799086,-0.484884192559889,29.51511580744011
2011-02-18,35.76,31.91,1.1399937723338813,-0.6172012751741534,29.382798724825847
2011-02-22,35.61,31.77,1.1394168453619558,-0.5892731771493374,29.410726822850663
2011-02-23,35.38,31.7,1.1387786873113919,-0.7192843877711184,29.28071561222888
2011-02-24,35.11,31.5775,1.138031963435061,-0.8262043253706395,29.17379567462936
2011-02-25,35.28,31.755,1.1372720932104787,-0.8340753198987514,29.16592468010125
2011-02-28,35.78,32.11,1.1365125137357908,-0.7134168160562382,29.286583183943762
2011-03-01,35.3,31.785,1.1355946553124212,-0.7948761191053109,29.20512388089469
2011-03-02,35.59,31.84,1.1348413416540106,-0.5433483182636962,29.456651681736304
2011-03-03,35.96,32.2,1.1342936041451406,-0.5642540534735261,29.435745946526474
2011-03-04,35.33,32.005,1.1337723875102006,-0.9563852622639715,29.04361473773603
2011-03-07,35.61,32.13,1.133111073887353,-0.7968588040006566,29.203141195999343
2011-03-08,35.98,32.49,1.1326342001628897,-0.8192851632922924,29.180714836707708
2011-03-09,36.3,32.82,1.1320600783817998,-0.8542117724906717,29.14578822750933
2011-03-10,35.75,32.4475,1.1313847688783432,-0.9606072881800358,29.039392711819964
2011-03-11,35.81,32.52,1.130612568227061,-0.9575207187440213,29.04247928125598
2011-03-14,35.34,32.09,1.1297696845341862,-0.9143091767020337,29.085690823297966
2011-03-15,34.92,31.48,1.128974803119275,-0.6201268021947755,29.379873197805225
2011-03-16,34.26,30.985,1.1283177384321375,-0.7009251253197775,29.299074874680223
2011-03-17,33.6,31.03,1.1275265121037406,-1.3871476705790684,28.61285232942093
2011-03-18,33.81,30.88,1.126408794641894,-0.9735035785416812,29.02649642145832
2011-03-21,34.06,31.24,1.1255750057921468,-1.1029631809466593,28.89703681905334
2011-03-22,34.16,31.285,1.124652385050687,-1.0247498663107493,28.97525013368925
2011-03-23,34.5,31.27,1.1237864092799144,-0.6408010181829198,29.35919898181708
2011-03-24,34.81,31.4,1.1231368345112847,-0.45649660365433675,29.543503396345663
2011-03-25,34.71,31.39,1.1225454922316587,-0.5267030011517662,29.473296998848234
2011-03-28,34.69,31.28,1.121809226766681,-0.4001926132617868,29.599807386738213
2011-03-29,35.1,31.585,1.121135188193275,-0.31105491908459015,29.68894508091541
2011-03-30,35.5,31.95,1.1205367039552712,-0.30114769137091457,29.698852308629085
