date,STT,KCE,beta,value,price
2017-08-09,94.28,50.16,1.8086380394776966,3.558715939798745,33.558715939798745
2017-08-10,92.5,49.24,1.8105644792212265,3.3478050431468063,33.347805043146806
2017-08-11,92.08,49.2799,1.8124243347820994,2.7639100243716257,32.763910024371626
2017-08-14,93.52,49.9505,1.8143409565857025,2.892762048065862,32.89276204806586
2017-08-15,93.82,50.015,1.8164032829794179,2.972589801784409,32.97258980178441
2017-08-16,93.04,49.785,1.8184188230778013,2.510018893071674,32.510018893071674
2017-08-17,91.79,48.8387,1.8204044387933769,2.88381373510191,32.88381373510191
2017-08-18,92.42,48.7605,1.8223015425005002,3.5636656369043607,33.56366563690436
2017-08-21,92.33,48.59,1.8242600926118524,3.6892020999900836,33.689202099990084
2017-08-22,93.64,49.2699,1.8264525379426524,3.6508661008193144,33.650866100819314
2017-08-23,93.45,49.255,1.8287163390237806,3.3765767213836853,33.376576721383685
2017-08-24,93.78,49.3112,1.830829342402837,3.49960813090523,33.49960813090523
2017-08-25,93.47,49.4411,1.8328984680136866,2.8494835530885183,32.84948355308852
2017-08-28,92.9,49.2306,1.835001442357108,2.5617779918941608,32.56177799189416
2017-08-29,92.0,48.98,1.8371372373371226,2.017018115227742,32.01701811522774
2017-08-30,92.4,49.3298,1.8390750970133591,1.6787932793504012,31.6787932793504
2017-08-31,92.49,49.61,1.8407384096475203,1.1709674973865134,31.170967497386513
2017-09-01,93.18,49.87,1.8420482099834612,1.3170557681248027,31.317055768124803
2017-09-05,91.79,48.758,1.843153911950723,1.921501561106652,31.921501561106652
2017-09-06,91.63,48.604,1.8444127932665648,1.9841605960718738,31.984160596071874
2017-09-07,90.97,48.13,1.845956014880088,2.1241370038213603,32.12413700382136
2017-09-08,92.5,48.39,1.8473052410325983,3.1088993864325687,33.10889938643257
2017-09-11,94.33,49.1124,1.8489481674523645,3.5237180208124954,33.523718020812495
2017-09-12,94.96,49.592,1.8507329486730308,3.1784516094070483,33.17845160940705
2017-09-13,94.27,49.5201,1.8523431187912414,2.5417835231458525,32.54178352314585
2017-09-14,94.1,49.6899,1.8537411344429537,1.9877884036430657,31.987788403643066
2017-09-15,94.04,49.43,1.854942335937972,2.3502003345860487,32.35020033458605
2017-09-18,94.76,49.86,1.8558690534339473,2.226368995783389,32.22636899578339
2017-09-19,95.68,50.08,1.8570091239569684,2.680983072235037,32.68098307223504
2017-09-20,95.82,50.3461,1.8586494628951478,2.2442482761345985,32.2442482761346
2017-09-21,95.95,50.4687,1.860155449912858,2.070372644982939,32.07037264498294
2017-09-22,95.56,50.73,1.8618252085048426,1.109607172549346,31.109607172549346
2017-09-25,94.46,50.7305,1.8629359640804606,-0.047672925783814435,29.952327074216186
2017-09-26,93.91,51.0695,1.8635433438740603,-1.2602267999763228,28.739773200023677
2017-09-27,95.54,51.96,1.8637569490607173,-1.3008110731948648,28.699188926805135
2017-09-28,95.81,52.125,1.8637882160924268,-1.3399607638177429,28.660039236182257
2017-09-29,95.54,52.39,1.8636870232011153,-2.098563145506432,27.901436854493568
2017-10-02,96.34,52.789,1.8633172237862161,-2.0226529264505615,27.97734707354944
2017-10-03,96.99,53.2192,1.863149992968176,-2.1653521057719587,27.83464789422804
2017-10-04,97.11,53.2654,1.8628973720729214,-2.1179736824129805,27.88202631758702
2017-10-05,98.95,53.62,1.8628978869424666,-0.9385846978550489,29.06141530214495
2017-10-06,98.8,53.385,1.8631951700158922,-0.6666741512984089,29.33332584870159
2017-10-09,98.09,53.33,1.8636310888088867,-1.2974459661779179,28.702554033822082
2017-10-10,99.17,53.5,1.86371230254423,-0.5386081861163063,29.461391813883694
2017-10-11,99.29,53.5197,1.8638086102873668,-0.4604776799967709,29.53952232000323
2017-10-12,98.63,53.65,1.8640971267500202,-1.3788108501385778,28.621189149861422
2017-10-13,99.26,53.6274,1.8647639655422013,-0.7424430857178379,29.257556914282162
2017-10-16,98.54,53.6142,1.8656906123105317,-1.4875096265392926,28.512490373460707
2017-10-17,97.15,53.2245,1.866281225061761,-2.1818850632996885,27.81811493670031
2017-10-18,98.35,53.7821,1.866599761589623,-2.0396550377892737,27.960344962210726
2017-10-19,97.48,53.4967,1.8671515986014762,-2.406448924903586,27.593551075096414
2017-10-20,99.12,54.05,1.8669191764880888,-1.786981489181187,28.213018510818813
2017-10-23,96.17,53.711,1.8665871823000337,-4.0862641485171025,25.913735851482897
2017-10-24,96.43,53.98,1.8656067402125744,-4.275451836674762,25.724548163325238
2017-10-25,94.05,53.45,1.8647574860896639,-5.621287631492535,24.378712368507465
2017-10-26,94.74,53.9,1.8634202767011152,-5.69835291419011,24.30164708580989
2017-10-27,93.51,53.75,1.8613554314219583,-6.537854438930253,23.462145561069747
2017-10-30,93.29,53.29,1.85911177766668,-5.7820666318573615,24.21793336814264
2017-10-31,92.0,53.37,1.856752109511665,-7.09486008463756,22.90513991536244
2017-11-01,92.25,53.32,1.8541219299481435,-6.611781304835006,23.388218695164994
2017-11-02,92.51,53.85,1.8516049960856995,-7.198929039214917,22.801070960785083
2017-11-03,92.53,53.28,1.8487018762154777,-5.9688359647606575,24.031164035239343
2017-11-06,92.29,53.52,1.846234072336996,-6.520447551476025,23.479552448523975
2017-11-07,90.28,53.049,1.8436931546432485,-7.526078160669684,22.473921839330316
2017-11-08,91.13,53.3376,1.8407330699742968,-7.05028419306106,22.94971580693894
2017-11-09,90.77,53.1543,1.8378211267608033,-6.918095518181772,23.081904481818228
2017-11-10,90.65,53.24,1.8350361551813896,-7.047324901857181,22.95267509814282
2017-11-13,90.79,53.3349,1.832030734858487,-6.9211760406039105,23.07882395939609
2017-11-14,91.31,53.3701,1.8287934404543211,-6.292888796391168,23.707111203608832
2017-11-15,91.86,53.32,1.8256613640002506,-5.4842639284933625,24.515736071506637
2017-11-16,92.4,53.6566,1.8227243145154586,-5.401189454230149,24.59881054576985
2017-11-17,92.31,53.7044,1.8198174664480438,-5.422205145112315,24.577794854887685
2017-11-20,93.06,54.308,1.8167962643139257,-5.606571522360682,24.39342847763932
2017-11-21,93.06,54.8355,1.8138201541834862,-6.401735064728555,23.598264935271445
