date,INTC,XLK,beta,value,price
2011-04-27,22.63,26.75,0.7992994194004356,1.2487405310383473,31.248740531038347
2011-04-28,22.8,26.76,0.7996794886801109,1.4005768829202339,31.400576882920234
2011-04-29,23.15,26.74,0.8003718704072493,1.7480561853101513,31.74805618531015
2011-05-02,22.91,26.64,0.8012742856844188,1.5640530293670807,31.56405302936708
2011-05-03,23.23,26.65,0.80208337723008,1.8544779968183676,31.854477996818368
2011-05-04,23.5,26.57,0.8031114646730173,2.1613283836379296,32.16132838363793
2011-05-05,23.61,26.43,0.8044153606610083,2.3493020177295527,32.349302017729556
2011-05-06,23.25,26.48,0.8059509607384716,1.9084185596452699,31.90841855964527
2011-05-09,22.76,26.59,0.8073192950956862,1.2933799434057036,31.293379943405704
2011-05-10,23.03,26.83,0.8080313121993643,1.3505198936910574,31.350519893691057
2011-05-11,23.41,26.59,0.8089022686879029,1.9012886755886598,31.90128867558866
2011-05-12,23.705,26.79,0.8102842254640674,1.997485599817633,31.997485599817633
2011-05-13,23.41,26.46,0.8117880319958892,1.93008867338877,31.93008867338877
2011-05-16,23.64,26.08,0.8131418314448978,2.4332610359170666,32.43326103591707
2011-05-17,23.55,26.08,0.8147077591878311,2.302421640381368,32.30242164038137
2011-05-18,23.88,26.27,0.8160857541097327,2.4414272395373224,32.44142723953732
2011-05-19,23.54,26.32,0.8174557426403076,2.0245648537071013,32.024564853707105
2011-05-20,23.22,26.169,0.818844111760175,1.7916684393479798,31.79166843934798
2011-05-23,22.86,25.8,0.8200596523976333,1.7024609681410574,31.702460968141057
2011-05-24,22.61,25.72,0.821027416318299,1.4931748522933503,31.49317485229335
2011-05-25,22.68,25.8,0.8221902522617874,1.4674914916458839,31.467491491645884
2011-05-26,22.5,25.97,0.8231384804096865,1.123093663760443,31.123093663760443
2011-05-27,22.21,26.1,0.8239097504865462,0.7059555123011414,30.70595551230114
2011-05-31,22.51,26.46,0.8244616372584637,0.6947450781410538,30.694745078141054
2011-06-01,22.0,25.91,0.8250554599108046,0.6228130337110507,30.62281303371105
2011-06-02,22.085,25.93,0.825649652516813,0.6759045102390395,30.67590451023904
2011-06-03,21.73,25.54,0.8264579855162113,0.6222630499159649,30.622263049915965
2011-06-06,21.829,25.35,0.8271364534386393,0.8610909053304923,30.861090905330492
2011-06-07,22.06,25.27,0.8279703537869704,1.1371891598032562,31.137189159803256
2011-06-08,21.82,25.1,0.8289917181856891,1.0123078735392035,31.012307873539203
2011-06-09,21.76,25.12,0.8299029216922587,0.9128386070904639,30.912838607090464
2011-06-10,21.38,24.77,0.830978769787301,0.7966558723685537,30.796655872368554
2011-06-13,21.385,24.79,0.8318940697406305,0.7623460111297717,30.76234601112977
2011-06-14,21.82,25.1,0.8328822411810868,0.9146557463547218,30.914655746354722
2011-06-15,21.42,24.63,0.8339457437087554,0.8799163324533552,30.879916332453355
2011-06-16,21.42,24.57,0.8350611594306718,0.9025473127883963,30.902547312788396
