date,MSFT,XLK,beta,value,price
2013-10-04,33.88,32.18,1.0245212863643902,0.9109050047939249,30.910905004793925
2013-10-07,33.3,32.04,1.0234443579376686,0.5088427716770951,30.508842771677095
2013-10-08,33.01,31.53,1.0221554707227163,0.781438008112751,30.78143800811275
2013-10-09,33.07,31.65,1.0207631104224504,0.7628475551294471,30.762847555129447
2013-10-10,33.76,32.18,1.0192985850636258,0.9589715326525194,30.95897153265252
2013-10-11,34.13,32.45,1.0182077212299416,1.089159446088395,31.089159446088395
2013-10-14,34.45,32.56,1.017289908133636,1.3270405911688172,31.327040591168817
2013-10-15,34.49,32.36,1.0182933137591945,1.5380283667524708,31.53802836675247
2013-10-16,34.64,32.67,1.0191565749969866,1.3441546948484486,31.34415469484845
2013-10-17,34.92,32.68,1.0199671648895712,1.5874730514088142,31.587473051408814
2013-10-18,34.96,33.24,1.0209571213990452,1.0233852846957348,31.023385284695735
2013-10-21,34.99,33.42,1.0219747902351815,0.8356025103402374,30.835602510340237
2013-10-22,34.58,33.41,1.0228393851128905,0.4069361433783314,30.40693614337833
2013-10-23,33.76,33.25,1.0234995158796174,-0.27135890299727805,29.728641097002722
2013-10-24,33.72,33.33,1.023732615635329,-0.4010080791255177,29.598991920874482
2013-10-25,35.73,33.5,1.0238457044222316,1.4311689018552372,31.431168901855237
2013-10-28,35.57,33.61,1.0252142367914536,1.112549501439247,31.112549501439247
2013-10-29,35.52,33.825,1.0263975091098283,0.80210425436006,30.80210425436006
2013-10-30,35.54,33.76,1.0275708573541067,0.8492078557253606,30.84920785572536
2013-10-31,35.405,33.65,1.0287542212302092,0.7874204556034599,30.78742045560346
2013-11-01,35.525,33.66,1.0296299316169708,0.867656501772764,30.867656501772764
2013-11-04,35.94,33.79,1.030195536425909,1.1296928241685364,31.129692824168536
2013-11-05,36.64,33.7,1.0309213752351274,1.8979496545762018,31.897949654576202
2013-11-06,38.18,34.04,1.0320913874466455,3.0476091713161892,33.04760917131619
2013-11-07,37.5,33.595,1.0343542671473538,2.7508683951846535,32.75086839518465
2013-11-08,37.78,33.9,1.0363948440701407,2.6462147860222345,32.646214786022234
2013-11-11,37.59,33.94,1.0384228397254798,2.345928819717223,32.34592881971722
2013-11-12,37.36,34.03,1.0402960623511175,1.958724998191471,31.95872499819147
2013-11-13,38.155,34.32,1.0421425568699096,2.3886674482247017,32.3886674482247
2013-11-14,38.021,34.225,1.044167573925954,2.2843647823842232,32.28436478238422
2013-11-15,37.841,34.3,1.0461269964300346,1.9588440224498171,31.958844022449817
