date,MAS,XHB,beta,value,price
2011-05-23,14.2,18.2,0.7418082681332739,0.6990895199744145,30.699089519974414
2011-05-24,14.11,18.12,0.7425190902222141,0.6555540851734794,30.655554085173478
2011-05-25,14.22,18.32,0.7428111460986139,0.6116998034733943,30.611699803473392
2011-05-26,14.24,18.53,0.7431888176039664,0.4687112097985029,30.468711209798503
2011-05-27,14.29,18.7,0.7434916542688276,0.3867060651729233,30.386706065172923
2011-05-31,14.25,18.9,0.7438758873527783,0.19074572903249098,30.190745729032493
2011-06-01,13.9,18.41,0.7439542549258703,0.20380216681472874,30.20380216681473
2011-06-02,13.89,18.22,0.7438084796955912,0.3378094999463297,30.33780949994633
2011-06-03,13.3,17.9,0.7438200108873039,-0.014378194882738171,29.985621805117262
2011-06-06,12.89,17.55,0.7434160135282626,-0.1569510374210079,29.84304896257899
2011-06-07,12.51,17.47,0.7429265932727472,-0.46892758447489413,29.531072415525106
2011-06-08,12.35,17.2,0.7419992803331488,-0.41238762173015786,29.587612378269842
2011-06-09,12.23,17.4,0.7411448462035134,-0.6659203239411315,29.33407967605887
2011-06-10,11.81,17.07,0.7402235441033822,-0.8256158978447345,29.174384102155265
2011-06-13,11.83,17.17,0.738937332912165,-0.8575540061018749,29.142445993898125
2011-06-14,12.21,17.59,0.7376824851830592,-0.7658349143700107,29.23416508562999
2011-06-15,11.83,17.195,0.7362820988430913,-0.8303706896069549,29.169629310393045
2011-06-16,11.97,17.29,0.7346903382254397,-0.7327959479178521,29.26720405208215
2011-06-17,12.13,17.43,0.7333372061568775,-0.6520675033143739,29.347932496685626
2011-06-20,12.19,17.68,0.7319354829911207,-0.7506193392830127,29.249380660716987
2011-06-21,12.43,18.01,0.7304830071377048,-0.7259989585500648,29.274001041449935
2011-06-22,12.29,17.89,0.729071880790828,-0.753095947347914,29.246904052652084
2011-06-23,12.36,18.1,0.7277839346271914,-0.8128892167521649,29.187110783247835
2011-06-24,12.01,17.89,0.7265158453807062,-0.987368473860835,29.012631526139167
2011-06-27,12.08,17.92,0.724896417597719,-0.910143803351124,29.089856196648874
2011-06-28,12.15,18.14,0.7234314524598647,-0.9730465476219461,29.026953452378052
2011-06-29,12.11,18.01,0.7217794356430146,-0.889247635930694,29.110752364069306
2011-06-30,12.03,18.06,0.7201918680912478,-0.9766651377279345,29.023334862272065
2011-07-01,12.46,18.45,0.7183995118638442,-0.7944709938879235,29.205529006112076
2011-07-05,12.27,18.39,0.71686315282469,-0.9131133804460507,29.08688661955395
2011-07-06,12.08,18.35,0.7154787566448501,-1.0490351844329986,28.950964815567
2011-07-07,12.04,18.51,0.714351629791477,-1.182648667440242,28.81735133255976
2011-07-08,11.92,18.3,0.7129493509561355,-1.1269731224972812,28.873026877502717
2011-07-11,11.73,17.83,0.7117270174170827,-0.9600927205465819,29.039907279453416
2011-07-12,11.61,17.769,0.7105145082002373,-1.015132296210016,28.984867703789984
2011-07-13,11.58,17.83,0.7092470687191327,-1.0658752352621352,28.934124764737867
2011-07-14,11.32,17.68,0.7082610814990864,-1.202055920903847,28.797944079096155
2011-07-15,11.37,17.58,0.7070356414571214,-1.059686576816194,28.940313423183806
2011-07-18,11.32,17.31,0.7058087847650495,-0.8975500642830063,29.102449935716994
2011-07-19,11.55,17.77,0.7048213312812573,-0.9746750568679428,29.025324943132055
2011-07-20,11.49,17.74,0.7038192969157052,-0.9957543272846099,29.004245672715392
2011-07-21,11.56,17.86,0.7027791377443402,-0.9916354001139158,29.008364599886086
2011-07-22,11.42,17.7,0.7021500081946263,-1.0080551450448834,28.991944854955115
2011-07-25,11.47,17.5,0.701341585352879,-0.8034777436753835,29.196522256324617
2011-07-26,11.11,17.265,0.7003935968506096,-0.9822954496257772,29.017704550374223
2011-07-27,10.92,16.85,0.6994519953213268,-0.8657661211643592,29.13423387883564
